City_Id,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Windspeed,Date
162,guaraniacu,BR,-25.1,-52.88,80.6,51,40,9.17,1607372434
163,guerrero negro,MX,27.98,-114.06,76.01,19,0,4.94,1607372314
164,gunjur,GM,13.2,-16.73,73.4,78,0,3.36,1607372371
165,haines junction,CA,60.75,-137.51,23,85,100,1.12,1607372426
166,hambantota,LK,6.12,81.12,78.17,83,75,3.69,1607372372
167,hami,CN,42.8,93.45,20.52,81,59,5.5,1607372335
168,hamilton,US,39.18,-84.53,35.01,55,90,6.93,1607372101
169,harper,LR,4.38,-7.72,79.05,81,5,2.59,1607372304
170,havelock,US,34.88,-76.9,51.01,92,100,3,1607372350
171,hermanus,ZA,-34.42,19.23,64.99,91,96,8.97,1607372307
172,hervey bay,AU,-25.3,152.85,75,94,100,13.31,1607372440
173,hilo,US,19.73,-155.09,80.01,61,1,5.82,1607372447
174,hithadhoo,MV,-0.6,73.08,82.44,80,100,15.39,1607372319
175,hobart,AU,-42.88,147.33,48,65,75,5.82,1607372320
176,hobyo,SO,5.35,48.53,78.89,76,96,14.5,1607372367
177,hofn,IS,64.25,-15.21,23,79,0,4.7,1607372368
178,hong gai,VN,20.96,107.09,64.4,63,0,8.05,1607372440
179,hounde,BF,11.5,-3.52,82.85,23,0,2.15,1607372378
180,hovd,MN,48.01,91.64,-0.09,83,12,1.52,1607372386
181,hualmay,PE,-11.1,-77.61,71.51,68,92,9.73,1607372348
182,huarmey,PE,-10.07,-78.15,70.83,72,98,8.66,1607372322
183,husavik,IS,66.04,-17.34,23,79,0,4.7,1607372349
184,ilulissat,GL,69.22,-51.1,23,79,75,12.75,1607372412
185,imeni poliny osipenko,RU,52.42,136.49,2.44,87,100,2.89,1607372434
186,inhambane,MZ,-23.86,35.38,77,78,20,4.7,1607372363
187,inongo,CD,-1.95,18.27,74.86,82,100,0.54,1607372397
188,inta,RU,66.03,60.17,28.11,99,100,11.83,1607372346
189,inyonga,TZ,-6.72,32.07,73.18,59,69,1.66,1607372387
190,iqaluit,CA,63.75,-68.51,12.2,85,75,4.7,1607372295
191,iquitos,PE,-3.75,-73.25,75.2,94,75,3.36,1607372148
192,isangel,VU,-19.55,169.27,80.44,80,69,10,1607372367
193,itacoatiara,BR,-3.14,-58.44,81.7,79,100,4.03,1607372068
194,itaituba,BR,-4.28,-55.98,89.6,62,20,2.33,1607372422
195,itaqui,BR,-29.13,-56.55,79.16,53,2,10.27,1607372152
196,ixtapa,MX,20.7,-105.2,80.6,61,75,4.21,1607372305
